retweet_count,favorite_count,reply_count
52,468,12
4587,12315,1275
105,735,19
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
150,1169,33
52,311,15
0,0,0
21,110,1
0,0,0
18,122,1
170,1062,15
24,95,1
0,0,0
28,122,4
0,0,0
29,127,3
0,0,0
26,107,4
28,124,2
0,0,0
0,0,0
33,116,0
21,102,3
0,0,0
0,0,0
150,940,12
569,4840,46
0,0,0
64,212,9
0,0,0
28,112,3
0,0,0
676,4352,39
18,90,19
0,0,0
73,248,5
220,1847,12
73,199,3
92,654,7
0,0,0
40,185,3
0,0,0
0,0,0
108,640,80
114,951,33
107,629,14
49,369,9
0,0,0
91,554,20
40,194,22
704,3744,120
46,329,39
240,1196,104
155,1192,58
103,739,6
243,2250,15
49,359,20
135,1104,6
0,0,0
484,1497,198
36,252,7
0,0,0
36,270,15
88,773,12
109,687,60
61,477,68
42,311,26
34,206,1
194,1418,38
88,398,20
70,555,5
63,337,7
0,0,0
0,0,0
0,0,0
29,333,3
0,0,0
0,0,0
56,503,20
40,326,9
64,362,3
914,4835,92
36,301,15
0,0,0
108,609,8
78,505,10
153,760,21
51,303,6
595,2174,86
422,2467,17
0,0,0
36,239,11
181,1199,10
42,468,13
0,0,0
179,1511,8
