retweet_count,favorite_count,reply_count
5434,22135,241
387,3670,41
431,3857,36
770,7503,102
175,1794,48
1406,8307,72
435,5544,14
39,463,3
346,4219,26
5351,26803,979
378,3024,20
617,3589,23
327,1571,7
814,8309,516
1728,7782,26
294,1326,13
3213,12531,57
1922,7528,29
1994,7999,39
91,590,6
1725,7458,21
220,1251,9
1868,8203,19
116,595,6
4613,17398,59
2779,11080,46
4195,15505,59
333,1918,8
2183,9014,42
1655,7390,26
676,2872,17
1456,6644,33
3434,12468,48
2269,9740,46
20712,57582,360
161,724,6
349,2186,10
228,1052,7
130,735,6
624,3853,27
724,4076,11
0,0,0
1451,7735,49
151,1896,15
0,0,0
0,0,0
0,0,0
10155,32238,224
0,0,0
1575,10751,54
2610,17750,244
898,8047,234
0,0,0
3211,18391,177
0,0,0
813,5730,35
544,4747,26
1780,13912,72
1334,10389,57
935,8514,62
851,6160,44
377,3978,47
751,10113,103
0,0,0
1497,7834,68
732,5224,46
403,4086,45
186,1622,36
0,0,0
579,3667,375
0,0,0
149,1441,12
10224,33865,67
1706,8398,101
572,5025,20
0,0,0
