retweet_count,favorite_count,reply_count
328,2291,49
86,556,31
294,1620,38
370,2159,32
368,1397,24
1316,5974,93
103,1001,28
28,195,8
71,445,19
542,3629,92
354,1862,261
114,683,222
414,3356,969
571,3898,429
223,1575,76
122,813,151
0,0,0
265,1463,29
146,2027,18
183,1718,34
175,1041,41
526,3903,27
149,964,6
106,775,9
0,0,0
165,1177,21
0,0,0
330,2145,34
92,552,78
128,873,19
0,0,0
68,550,10
0,0,0
70,299,3
305,1710,19
145,641,24
71,521,18
65,324,5
206,1231,21
116,984,14
0,0,0
183,1294,17
0,0,0
107,972,5
204,1686,26
324,2304,50
0,0,0
160,1133,10
192,1228,43
0,0,0
36,276,5
3,15,0
92,919,25
171,1346,39
607,3305,36
171,1583,180
319,1850,44
105,532,69
97,663,60
305,1518,319
128,1086,122
158,976,192
361,2154,42
978,7228,116
212,1473,17
103,585,9
0,0,0
102,964,8
137,884,94
242,1357,16
206,1810,21
0,0,0
539,2310,71
472,1982,42
408,2016,13
979,5408,103
287,1770,23
701,3084,32
0,0,0
0,0,0
243,1354,10
169,971,11
119,870,9
52,398,4
45,398,4
84,338,4
63,581,3
308,1344,55
91,609,9
96,435,14
214,1319,15
0,0,0
200,1482,28
424,3532,36
641,4171,29
1010,7801,97
249,2026,27
211,1236,32
361,2661,31
0,0,0
