retweet_count,favorite_count,reply_count
33,220,17
26,198,18
0,0,0
306,2475,116
0,0,0
195,1152,38
0,0,0
103,728,36
166,1326,80
0,0,0
0,0,0
0,0,0
67,606,53
102,853,62
194,1223,28
105,680,7
116,942,24
100,583,10
71,494,12
199,1093,17
108,623,8
247,1213,34
182,800,9
138,721,12
442,3255,12
1656,5819,57
200,1431,9
358,1102,11
415,1401,8
854,5242,24
282,1832,12
372,2410,22
143,640,23
230,1461,12
0,0,0
228,1359,6
153,1299,12
136,754,4
1512,6199,51
150,687,24
208,1080,10
108,731,4
123,681,9
0,0,0
129,777,6
0,0,0
135,793,21
144,802,3
88,437,2
105,780,14
87,533,6
205,1435,9
0,0,0
41,299,5
60,279,6
98,592,3
144,933,31
58,336,12
0,0,0
140,1000,20
0,0,0
124,796,22
0,0,0
0,0,0
0,0,0
1279,6061,70
168,1210,31
213,1456,48
79,455,23
206,1378,28
1127,5959,122
431,3494,307
539,3240,33
76,483,13
0,0,0
25,153,2
58,427,7
97,579,28
74,399,76
188,1227,30
67,392,55
66,346,43
209,1637,346
198,1609,101
98,538,47
0,0,0
95,698,14
138,750,34
110,638,6
122,764,6
70,360,10
166,1037,18
175,698,12
0,0,0
157,989,20
170,951,7
147,940,6
311,1479,32
62,405,1
135,816,5
