retweet_count,favorite_count,reply_count
2920,20745,151
1405,9212,48
594,5279,40
1932,15372,73
9908,49790,339
0,0,0
941,6638,78
3137,18823,205
839,7404,26
11081,48843,498
0,0,0
371,2110,13
0,0,0
0,0,0
344,1758,13
357,1821,17
0,0,0
0,0,0
0,0,0
227,931,4
881,3953,54
5106,25415,258
144,1540,10
428,5840,44
0,0,0
535,4140,46
0,0,0
179,1498,16
39,919,17
0,0,0
156,2599,17
0,0,0
1052,11421,57
1379,10210,107
1768,12350,103
0,0,0
0,0,0
871,5926,86
145,1627,28
445,3079,37
0,0,0
1495,12997,71
0,0,0
41,676,19
234,1614,15
882,11565,49
0,0,0
46,972,25
183,1331,13
0,0,0
0,0,0
303,2459,23
301,3867,61
0,0,0
160,1267,15
385,2590,38
826,6831,28
337,2191,63
312,2566,21
543,3639,70
4176,18861,307
28,360,11
94,694,9
101,758,16
519,8809,35
31,490,7
114,960,12
141,2132,56
87,1255,15
261,3659,55
1791,15005,301
98,1000,12
286,4077,66
1651,14739,270
41,389,3
0,0,0
5099,36907,285
2760,18885,108
4341,28746,152
7949,33595,431
2287,13212,102
14446,47807,530
601,3771,35
1491,9113,52
1379,9124,137
0,0,0
0,0,0
33,668,26
283,2128,31
779,7545,35
181,2449,33
0,0,0
0,0,0
0,0,0
87,673,119
30,362,4
72,627,12
40,538,17
165,1308,14
460,3911,22
