retweet_count,favorite_count,reply_count
106,734,12
119,1301,25
128,668,10
177,2105,13
1069,8406,121
147,1513,23
29,243,4
0,0,0
0,0,0
0,0,0
138,882,28
504,4396,57
91,782,21
0,0,0
0,0,0
0,0,0
149,980,37
355,1907,15
91,577,17
358,1424,21
213,853,16
217,1824,26
71,469,10
214,1101,26
1378,5732,127
257,2469,20
2398,7539,89
247,2357,35
553,2733,16
389,2496,9
95,704,9
721,4942,42
340,3572,25
130,773,29
0,0,0
71,545,11
0,0,0
0,0,0
1531,7058,64
380,4784,43
0,0,0
103,795,57
65,436,38
342,2763,18
1053,6367,47
71,659,9
105,937,10
0,0,0
116,1056,212
62,568,9
73,869,8
50,239,9
76,426,2
89,536,17
28,190,2
187,1318,38
0,0,0
279,1998,33
0,0,0
0,0,0
524,3762,35
0,0,0
437,3466,53
95,705,26
0,0,0
0,0,0
84,609,20
0,0,0
460,3710,81
74,421,11
187,1242,36
569,3807,91
0,0,0
274,1502,33
121,1418,38
1294,6978,225
195,1735,82
54,343,20
26,178,18
0,0,0
125,834,31
99,752,15
36,290,37
387,2469,40
290,1631,61
251,1824,27
67,375,35
248,1227,182
562,4202,152
148,1055,29
37,347,28
53,472,7
84,577,14
40,450,16
83,834,38
91,587,7
54,402,30
87,605,8
160,1304,13
74,721,13
