retweet_count,favorite_count,reply_count
72,666,46
335,2068,21
0,0,0
350,2310,43
0,0,0
242,1842,33
0,0,0
1386,9613,91
215,3547,27
0,0,0
168,2090,182
161,920,13
240,2422,25
51,624,18
244,2144,9
873,6482,30
0,0,0
45,508,23
228,2407,23
124,1536,10
311,2903,19
86,965,7
739,4691,29
4481,19127,98
55,302,5
522,4101,12
155,1555,8
81,578,13
0,0,0
149,1270,13
392,3617,24
178,1917,27
102,972,21
801,7430,67
410,3256,221
0,0,0
1008,9246,42
571,5478,19
228,1810,14
1069,7043,34
0,0,0
1600,10196,36
319,3129,17
231,2077,25
681,5567,45
416,3023,26
1216,7864,26
0,0,0
88,512,8
413,4516,154
152,1188,22
456,4012,46
322,3501,15
402,3345,32
59,480,17
750,6155,53
273,3799,71
750,7403,132
2015,11924,84
549,4737,41
322,2840,38
577,4244,27
699,4512,19
0,0,0
534,4630,18
0,0,0
2123,9748,99
0,0,0
1355,7402,50
22376,75207,2110
0,0,0
5781,27183,88
642,3905,29
0,0,0
1228,9319,84
0,0,0
1304,7855,58
4076,18712,175
4858,24513,145
0,0,0
784,4753,36
2887,11799,127
0,0,0
3260,14475,161
2196,14126,127
3559,15216,103
0,0,0
183,1341,15
394,1935,18
1074,7232,63
183,976,22
508,4206,34
399,2657,15
424,3186,14
0,0,0
1158,6619,93
2916,15137,157
1146,8176,38
1499,6066,89
2881,13597,109
