retweet_count,favorite_count,reply_count
311,2168,13
239,1582,14
350,2762,36
275,2077,14
1276,8188,45
0,0,0
0,0,0
4205,18685,150
315,2190,24
471,3135,8
932,5924,32
780,4674,26
147,909,12
188,1252,6
1229,7779,44
760,6469,28
0,0,0
371,2849,26
186,935,10
158,876,3
83,565,2
83,569,6
88,486,5
89,653,7
719,8390,27
137,623,4
941,9558,30
139,798,8
201,1195,26
110,695,5
117,743,3
469,3081,29
341,2469,5
176,1042,10
337,2223,21
1232,7846,84
0,0,0
41,327,3
0,0,0
1080,9997,121
0,0,0
67,389,5
452,4411,29
156,888,10
2271,12865,57
66,422,4
86,466,4
68,409,6
58,354,9
0,0,0
2056,8198,116
69,493,11
0,0,0
118,830,6
6396,20387,150
117,845,6
3331,23357,153
2014,8555,55
195,857,9
3584,15743,77
198,1170,12
0,0,0
64,303,6
743,4921,41
63,354,4
81,358,8
123,681,15
242,625,16
1598,11304,49
0,0,0
1124,6241,54
283,1806,93
138,1456,10
566,5891,168
6938,27256,240
1762,10590,61
0,0,0
694,5078,55
258,2481,80
1736,14881,121
141,909,17
5269,19068,156
118,804,9
1614,8965,102
0,0,0
0,0,0
92,798,13
2501,18046,172
36,309,8
631,5043,24
117,840,25
2807,18372,121
166,1322,25
3713,16639,266
1594,10059,82
173,1672,15
0,0,0
0,0,0
89,978,31
287,2826,28
