retweet_count,favorite_count,reply_count
0,0,0
440,3393,21
399,2682,20
72,920,32
101,1096,5
1031,9082,66
126,1340,12
1371,8406,39
395,4686,36
353,2436,23
8,452,2
129,896,5
161,1190,2
145,809,2
194,1064,5
152,826,6
1751,12244,86
1735,10696,69
361,3615,36
393,3224,17
306,2204,13
564,7269,31
1546,8024,54
2398,15631,53
118,1479,16
947,4787,28
1062,5906,38
12,124,11
271,2491,11
168,1589,9
244,2830,11
400,2523,14
210,2119,14
1591,8534,48
60,672,5
306,2416,13
2343,12179,97
79,753,4
613,3845,23
119,1043,12
49,393,5
34196,107841,453
2281,11007,52
26159,80085,335
0,0,0
4541,22061,183
68,594,10
217,1006,12
129,1159,10
