retweet_count,favorite_count,reply_count
157,599,7
0,0,0
484,1613,17
1021,2858,31
2266,9123,245
1963,15892,147
262,1764,38
6858,40440,280
228,1158,21
74,779,10
202,1912,34
74,655,8
414,2390,46
2078,18547,97
0,0,0
0,0,0
1547,12068,100
0,0,0
2466,15605,51
342,1911,60
609,2851,49
140,1019,20
602,4136,95
109,1299,8
1270,8780,182
101,1031,9
497,3848,46
0,0,0
0,0,0
398,2529,39
5696,26115,623
2655,14034,814
3369,12315,223
258,1453,17
1044,6612,91
543,3293,31
4074,20257,242
18578,61953,408
0,0,0
84,1766,18
0,0,0
1199,7201,24
53,627,19
3841,20688,58
0,0,0
195,2371,9
135,1992,46
7633,53287,137
48,787,7
2484,16780,86
1104,10192,36
502,4099,32
4477,27593,187
662,6012,37
1320,7658,21
6330,55810,83
0,0,0
19020,108744,193
617,4037,31
990,5153,59
0,0,0
5210,33721,142
11868,50139,368
0,0,0
0,0,0
0,0,0
367,3069,23
0,0,0
0,0,0
805,5761,66
0,0,0
761,5222,30
0,0,0
8391,39788,296
944,5678,44
3080,16518,267
7778,37609,175
848,5612,33
1655,8951,48
879,5799,85
12742,70766,144
4725,22417,101
0,0,0
310,1629,15
671,3940,40
1792,19443,79
224,1635,33
26,480,3
543,3457,61
1100,9103,44
150,916,19
519,8346,28
0,0,0
0,0,0
834,9392,51
0,0,0
0,0,0
483,6279,555
0,0,0
0,0,0
82,676,12
262,1971,31
0,0,0
97,961,44
642,5131,49
471,3971,39
247,1610,27
342,2990,59
0,0,0
0,0,0
239,1751,20
439,2604,43
80,1065,90
109,966,12
874,6809,67
0,0,0
89,557,6
443,3621,20
149,705,24
61,409,7
148,1370,55
321,3824,27
778,3300,754
60,649,4
135,1198,13
3984,21095,207
452,4576,62
0,0,0
0,0,0
115,676,18
3324,16430,111
1117,9340,102
42,453,1
43,478,1
19,139,1
20,163,1
240,2672,17
41,425,8
123,740,16
93,841,12
202,2834,27
111,646,12
69,865,21
45,407,10
0,0,0
0,0,0
526,6200,532
0,0,0
135,1779,155
245,2084,37
128,1306,93
87,586,8
662,5810,44
112,1059,41
2323,14877,85
701,5542,39
0,0,0
0,0,0
173,771,16
114,888,6
100,539,9
161,1757,17
45,428,9
168,813,30
71,389,10
109,545,6
141,1466,18
331,3373,26
116,915,20
105,1305,10
261,2845,24
136,775,30
0,0,0
413,3359,50
30,421,13
160,901,14
0,0,0
582,6441,751
170,2253,194
0,0,0
750,5574,56
109,1100,98
0,0,0
323,2213,19
483,2987,46
112,974,12
740,5128,56
102,1118,87
217,1703,43
98,506,8
56,633,14
110,562,8
344,2992,20
142,666,18
28,238,11
