retweet_count,favorite_count,reply_count
108,966,14
2423,17402,203
1407,12968,40
126,1019,9
269,1781,17
242,2340,12
0,0,0
0,0,0
380,2013,14
0,0,0
466,3179,20
0,0,0
2085,9514,84
811,6922,52
558,4145,32
36,260,8
4067,21950,96
385,3060,51
1183,11154,60
924,6448,41
204,1668,67
950,7411,47
363,3215,29
157,1169,18
176,1519,12
128,1176,61
1296,11710,74
113,699,17
163,1359,90
89,643,13
642,5769,41
171,2226,23
0,0,0
241,2801,32
311,2879,26
264,2106,19
43,480,8
918,10559,77
233,1673,27
1040,8910,29
1060,10338,63
1965,13763,58
1060,10867,394
520,5727,38
225,3262,24
108,820,22
592,3669,32
757,6355,33
147,1281,12
175,1590,20
364,3193,22
216,2103,12
172,1413,12
124,1150,11
129,1311,24
767,7994,62
0,0,0
220,2182,23
581,3086,34
1233,7610,51
1691,5550,91
0,0,0
1142,7854,44
1384,9950,46
1602,12525,67
524,3679,20
2850,14920,160
1220,6877,72
4529,27675,184
627,7759,46
273,2753,65
1269,8282,65
886,6873,31
552,3968,48
299,2849,20
1551,8294,179
94,871,11
240,1753,38
0,0,0
5032,24486,141
4311,25603,127
0,0,0
3256,24914,149
353,2393,9
372,3215,23
161,1323,20
505,4423,34
176,1296,25
0,0,0
234,2245,19
114,654,19
756,7454,31
179,1151,12
111,789,18
1013,7855,47
408,3021,24
526,5097,31
564,4700,43
1823,18029,102
793,5542,48
763,5885,24
2618,15318,48
1858,9095,49
7697,37090,112
921,4180,29
1490,6732,31
2107,9096,51
1078,4489,29
545,2734,19
378,2121,12
606,2956,35
8879,28540,327
0,0,0
971,7572,39
0,0,0
347,3365,16
249,1800,14
2140,15500,66
0,0,0
444,3918,34
300,2906,47
164,1379,10
227,1912,16
0,0,0
119,980,13
2880,21125,195
531,3405,43
8850,42497,494
599,3882,36
1204,8823,87
581,4985,53
3041,10779,196
2277,21770,64
5717,28633,234
7430,34039,287
1828,8235,77
0,0,0
0,0,0
3723,24385,166
505,4560,29
619,4565,29
0,0,0
432,2829,34
258,2090,47
933,7059,22
0,0,0
303,2391,31
0,0,0
160,1573,12
292,2187,59
427,3726,26
257,2495,23
0,0,0
299,2264,34
782,5406,27
235,1504,46
267,2855,50
641,6947,18
470,3953,20
457,3518,59
128,696,14
142,766,13
1262,8705,27
178,1318,18
104,627,18
503,4609,21
537,3108,39
0,0,0
515,4891,32
6413,44318,149
69,659,7
466,4915,40
1092,10911,109
244,1520,25
546,4549,39
2710,25067,94
3944,24618,104
142,1559,20
185,2148,17
108,1147,28
742,6184,29
739,8080,134
94,1071,4
172,1892,11
268,2586,20
189,1629,12
249,2476,23
145,1383,11
146,1246,12
0,0,0
109,1334,12
757,5800,23
0,0,0
557,3689,31
320,3690,12
1989,9401,83
0,0,0
257,2760,12
3790,21022,116
914,7072,22
