retweet_count,favorite_count,reply_count
166,1929,22
654,6445,65
0,0,0
100,955,19
300,3572,40
336,4216,216
367,2708,28
268,2713,22
2050,15363,58
301,2044,25
114,1477,7
539,5504,28
36,484,10
0,0,0
82,823,2
57,728,5
276,2495,21
139,1416,18
293,2544,21
140,1139,24
919,5678,53
371,3028,15
1554,4614,74
2336,14492,104
660,4685,28
0,0,0
1161,8697,60
0,0,0
168,1459,41
0,0,0
0,0,0
173,1526,15
553,4726,34
630,6905,70
268,1721,34
231,2205,14
0,0,0
866,6335,42
0,0,0
2784,15143,107
312,2791,25
303,2866,16
113,883,14
429,2938,26
886,5834,41
117,558,8
64,547,5
126,606,9
454,4319,19
219,1400,19
202,1540,10
0,0,0
0,0,0
628,5830,100
311,2979,23
222,2621,30
252,1780,16
231,1503,24
212,1921,20
0,0,0
323,2536,20
1343,9062,52
37,329,4
906,6260,28
102,682,19
29,236,2
0,0,0
272,2681,24
31,309,10
277,2152,17
159,1342,16
1342,8973,59
147,1439,8
99,855,11
198,1791,22
147,1368,14
345,3378,21
115,1041,21
103,1106,13
657,4028,44
0,0,0
501,2970,35
1945,6888,139
0,0,0
2218,12453,58
411,2949,20
939,5658,52
3548,17898,149
571,3218,56
1016,6626,112
0,0,0
111,1021,58
0,0,0
165,1304,37
0,0,0
0,0,0
646,5160,41
261,2126,13
250,2580,22
264,1841,41
74,766,10
240,2433,20
78,875,11
679,4005,42
0,0,0
655,5375,41
0,0,0
1066,8279,39
58,323,8
0,0,0
0,0,0
0,0,0
86,976,8
192,1680,9
266,1949,27
130,1200,13
0,0,0
231,2053,14
0,0,0
0,0,0
2104,12405,70
465,2949,32
2170,11241,40
497,2892,47
2327,8114,97
2167,13920,111
0,0,0
368,2173,24
489,3423,34
659,7411,122
405,2606,20
1255,8073,19
2204,12771,93
1122,7111,24
236,1581,21
500,3582,17
0,0,0
983,6696,30
1764,9458,45
143,1640,11
171,1207,33
712,5449,14
0,0,0
265,2399,27
1027,7586,74
101,938,47
662,4834,32
98,554,8
159,963,18
256,1700,26
229,1615,15
80,498,12
0,0,0
362,2944,38
333,3245,57
0,0,0
182,2246,6
806,6806,37
207,1378,31
286,2197,36
1555,11927,86
0,0,0
0,0,0
198,2163,37
253,1915,30
0,0,0
0,0,0
2410,13784,118
0,0,0
872,6173,36
632,3192,44
1113,5864,76
0,0,0
2709,9852,179
1744,10765,72
1454,9898,115
250,2649,25
203,1834,33
555,3871,64
192,1328,16
1036,7057,36
113,1357,9
476,3464,35
694,5225,50
1076,6558,169
126,1284,21
520,2641,47
400,2880,38
496,3914,20
398,4171,42
701,4774,87
148,1413,43
399,3861,23
93,545,5
146,828,42
116,1460,7
57,497,6
1054,7311,80
652,4687,209
203,1867,44
