retweet_count,favorite_count,reply_count
893,9855,52
5596,40333,398
0,0,0
0,0,0
201,1369,16
0,0,0
3149,15283,53
87,1104,1
122,1475,7
718,6470,30
107,1123,7
1704,10816,96
1178,6159,41
86,1135,2
136,1488,2
1111,7606,59
4268,34859,80
168,1409,25
625,6864,81
246,2202,19
358,3138,38
248,2200,10
1076,7338,57
153,1744,5
503,3003,18
279,1967,18
481,4121,28
244,1803,16
2546,13791,87
270,1951,21
468,3295,33
145,1545,12
288,1812,28
170,1454,13
755,4562,31
190,1373,23
224,1404,15
718,5186,49
551,3943,32
599,5031,19
4794,26438,134
798,7107,48
0,0,0
769,8951,55
1048,11970,51
2291,15228,148
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
730,5240,26
211,1763,13
643,5740,26
429,3163,18
2228,16004,105
310,3468,60
0,0,0
2093,18261,96
4755,33890,267
0,0,0
1582,7511,64
0,0,0
397,4801,20
0,0,0
0,0,0
252,2210,15
708,4859,24
1777,10466,82
196,1876,27
131,989,7
1213,7931,62
504,3974,25
986,8516,86
147,1076,28
154,3710,15
701,11196,78
16989,137301,1011
1084,14714,43
4109,26549,171
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
207,2369,7
250,3079,8
667,9207,29
2416,25125,78
0,0,0
259,4035,15
1306,14460,51
119,1548,16
284,4248,13
388,5591,19
248,3330,18
134,2181,18
0,0,0
0,0,0
0,0,0
871,14399,52
0,0,0
0,0,0
377,4656,16
889,10361,115
305,3337,46
0,0,0
0,0,0
0,0,0
187,1492,16
0,0,0
3171,25032,143
0,0,0
34,386,4
240,3620,18
1229,13002,38
0,0,0
1108,11053,58
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
875,6218,9
15435,89574,243
591,4023,25
195,1950,5
559,5044,31
227,2225,13
232,3404,5
0,0,0
670,6552,29
166,2169,14
218,1219,40
1685,6741,94
466,3535,21
169,2088,16
69,656,7
468,5605,16
2379,15863,113
