retweet_count,favorite_count,reply_count
0,0,0
504,2365,26
167,1105,7
1783,8108,51
1947,9111,144
2412,19970,155
268,1984,29
1161,5624,42
188,1362,7
1407,8097,73
131,1275,6
670,4460,27
84,722,4
111,1326,7
186,1332,10
193,1394,5
2181,11663,85
334,2945,12
243,2190,13
123,1160,13
166,1147,8
247,1961,18
356,2556,32
391,2986,23
1,1,0
1,1,0
0,1,0
353,2985,22
140,697,15
606,4238,13
7821,29585,352
233,1839,16
1216,6985,48
118,1250,7
67,670,3
0,0,0
152,1887,70
24,284,6
0,0,0
0,0,0
0,0,0
0,0,0
87,979,7
578,4503,14
2283,14004,36
85,789,4
251,1895,16
520,2554,22
665,3305,18
422,3309,66
5301,19888,201
168,2130,5
204,1664,15
2669,13457,42
188,1543,19
688,4436,38
668,4560,40
474,2991,11
264,1572,20
852,5148,32
895,4488,26
140,1986,15
1678,8817,64
189,1696,35
213,1543,12
1572,11635,21
2033,11930,97
103,975,7
57,712,7
212,1843,15
184,1393,12
1682,8134,52
155,1195,10
618,3552,57
1767,9358,57
980,5806,48
121,1497,11
35,289,7
0,0,0
81,725,4
0,0,0
0,0,0
3129,27664,377
40,344,3
25,279,6
740,3748,27
1364,9284,66
137,1029,13
291,2547,13
725,5078,27
307,2297,11
346,3363,14
221,1797,2
361,2864,8
166,1971,9
316,2474,9
964,10820,35
191,1720,6
179,1624,9
778,5471,34
1369,9892,40
523,4463,33
346,2675,22
677,4122,27
152,1555,20
0,0,0
0,0,0
0,0,0
5952,29077,71
0,0,0
0,0,0
84,806,5
886,4972,22
1486,8658,29
267,1697,7
1290,6316,31
102,977,2
512,3134,26
301,2157,13
316,2404,12
61,702,8
206,1879,13
0,0,0
155,1443,6
981,5133,27
222,2031,40
700,4899,51
162,1386,20
362,3412,14
311,2326,18
367,3035,18
2714,15759,72
347,2463,24
489,2989,42
1317,6973,31
283,2188,29
2024,9826,63
292,2071,21
388,2386,11
3308,14243,107
238,2238,13
453,5217,28
59,413,8
116,1588,13
1078,7871,56
0,0,0
133,989,8
153,1884,19
39,582,3
261,2709,26
234,2002,19
42,508,5
175,1496,11
343,2780,9
0,0,0
67,825,3
412,3575,24
105,1293,10
111,1734,5
795,8335,57
0,0,0
0,0,0
24,466,4
29,542,8
46,647,1
448,5019,52
0,0,0
52,580,3
