retweet_count,favorite_count,reply_count
3284,21658,143
1901,11726,126
20,144,6
6,73,13
1,33,0
1,17,0
2475,12628,156
0,0,0
145,1324,28
289,1807,32
0,0,0
0,0,0
381,3199,96
3129,16731,321
598,4568,28
550,5733,55
2001,15978,113
66,909,12
5569,39274,304
223,1641,21
237,2873,35
400,3588,48
83,978,27
793,8704,467
85,958,11
166,1666,12
679,4343,66
535,5515,54
169,2091,23
172,3046,29
0,0,0
175,1418,38
128,1210,62
2742,19123,138
457,4486,28
1515,10510,43
301,2632,47
378,3853,31
497,4562,18
242,3402,13
259,3158,16
204,2181,25
587,6491,23
320,4070,14
465,4899,57
92,692,6
125,1002,10
90,1242,15
75,637,14
138,1562,18
245,3410,12
204,2741,15
214,1911,39
99,1032,11
0,0,0
941,8292,42
0,0,0
400,4367,24
221,1966,30
1642,15560,53
57,528,7
143,1677,22
2696,20474,97
3298,10873,624
99,871,14
165,2288,47
939,8578,51
1100,8294,70
70,1090,34
968,4405,52
140,1682,13
227,1536,12
1250,5680,53
122,1287,11
174,1309,13
236,1921,17
15,140,2
479,2978,26
216,1703,24
124,1017,9
26,208,15
809,3468,35
227,1650,10
732,7400,68
0,0,0
0,0,0
0,0,0
611,4565,74
4,36,0
8,72,5
1,23,0
137,1183,62
1444,10146,155
0,0,0
24,390,8
