retweet_count,favorite_count,reply_count
0,0,0
294,3474,30
0,0,0
55,629,3
0,0,0
0,0,0
282,2256,8
247,2479,4
207,1608,8
2032,16605,44
126,1214,7
949,6579,43
414,2418,8
371,2897,14
3213,15107,128
158,993,8
391,2989,28
361,2639,35
278,2226,18
4844,23291,252
151,1243,8
161,1085,13
585,7160,13
399,2947,18
269,2399,5
285,2593,10
925,6259,17
1244,8967,27
193,1514,11
160,1900,5
182,1527,12
675,4580,21
371,2506,18
2868,13362,115
166,1342,11
436,2506,18
751,5716,65
86,847,11
0,0,0
0,0,0
44,894,10
3031,27129,129
42,936,2
0,0,0
71,909,24
212,1515,11
282,2636,13
699,4613,35
1236,8232,70
49,431,6
699,4724,12
2782,14160,97
52,701,6
696,8914,27
776,4477,25
561,4582,29
1103,10598,30
146,1306,12
220,1649,12
72,814,3
424,3132,20
308,2196,13
511,3137,31
242,1549,11
400,3791,18
153,1510,29
211,1362,11
187,1264,8
963,6105,29
162,1237,7
321,4973,33
680,3299,26
415,2426,24
139,1476,8
212,1359,11
214,1431,18
370,2317,9
289,1897,7
943,5370,31
70,912,7
32,400,3
378,3012,45
16,359,1
58,573,5
22,259,2
0,0,0
424,3538,21
302,1892,11
232,2441,14
0,0,0
259,2428,10
1463,13016,19
79,774,9
275,2322,32
1182,6646,39
172,2107,6
488,3031,14
1169,5662,51
101,1270,7
549,4057,33
588,4348,13
287,1897,17
198,2634,16
340,4094,9
3058,17723,63
451,2599,16
412,6356,30
145,1180,14
1314,6915,132
144,1521,7
8196,34787,345
42,551,5
194,1377,12
211,1663,9
108,1015,5
363,2219,19
742,6945,20
134,1070,5
0,0,0
1,6,1
2,11,1
0,5,3
1,13,0
0,7,0
907,6015,28
0,2,2
0,2,0
0,1,0
0,2,0
0,2,0
0,6,1
0,4,0
0,2,0
0,5,0
0,4,2
0,2,0
1,1,1
1,3,1
0,4,1
0,3,0
0,3,0
0,1,0
0,1,1
1,3,1
0,0,0
0,1,0
1,1,1
1,1,0
0,3,0
0,1,1
1,4,0
0,4,0
0,2,0
1,13,1
1,6,3
1,6,0
1,1,1
2,27,0
0,6,1
2,3,0
1,17,1
0,1,0
0,2,0
1,5,1
0,1,0
1,8,1
1,4,0
0,1,0
1,6,1
1,7,0
0,0,1
1,1,1
0,1,0
0,1,0
0,0,0
0,0,1
0,0,1
0,1,0
0,1,0
1,2,0
788,2521,175
1,1,0
1,1,0
0,1,0
1,2,0
