retweet_count,favorite_count,reply_count
2650,32862,95
1173,7673,71
1691,18273,63
0,0,0
1880,20813,84
6470,42425,273
0,0,0
0,0,0
1556,11177,107
2120,24321,63
5119,31631,128
0,0,0
6816,58159,209
586,6973,29
2144,26267,318
6766,49298,185
7852,54914,344
4895,52838,133
5490,33992,204
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3681,37261,101
3873,51702,558
3958,30148,240
0,0,0
2757,28224,79
8661,68441,279
0,0,0
0,0,0
0,0,0
1508,13707,64
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7027,57629,485
16798,115794,242
0,0,0
2071,18559,120
0,0,0
0,0,0
11631,67191,313
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
564,5919,28
3179,17952,146
0,0,0
0,0,0
136,2307,12
6054,29178,184
0,0,0
10625,77063,336
12970,68063,534
14630,94139,309
1101,8130,202
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
12127,56807,202
14,186,4
638,4531,33
0,0,0
0,0,0
3445,25067,89
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
9361,71688,189
4432,20963,128
2605,13326,87
0,0,0
0,0,0
0,0,0
52965,215685,1152
0,0,0
0,0,0
0,0,0
0,0,0
11619,41840,244
0,0,0
0,0,0
0,0,0
0,0,0
19654,61411,470
142424,328707,4022
0,0,0
1094,5788,86
856,5321,52
377,3275,27
501,2566,79
239,1295,33
393,5688,36
524,3639,38
920,10197,59
2130,19410,119
351,3245,61
6703,49183,381
2011,21436,201
518,3813,37
391,2181,44
0,0,0
0,0,0
3289,20933,184
144,1336,16
1612,12931,81
3342,28941,89
11842,66725,450
8621,51887,307
0,0,0
0,0,0
4809,33445,197
0,0,0
966,5967,67
0,0,0
1707,9147,61
690,3477,37
994,7589,22
5234,30348,146
8376,39611,183
2658,23872,225
0,1,0
0,0,0
18030,66950,687
0,0,0
887,6875,66
1323,8098,47
1461,10498,140
1030,5526,56
8017,42812,329
2474,24554,91
0,0,0
6248,44222,219
616,5450,61
962,5197,96
647,4079,56
0,0,0
0,0,0
1019,5639,62
457,2722,20
518,4048,61
1130,7512,49
207,1440,8
0,0,0
690,4109,42
1334,15898,335
247,1321,14
1033,5368,123
531,2902,48
1360,8120,47
206,1177,26
1505,18181,46
873,7216,50
640,9983,75
180,1875,13
341,3637,22
1011,9637,77
1948,16643,93
7327,55293,331
499,2628,37
85,1193,7
112,998,10
0,0,0
2,28,1
4336,24294,139
0,0,0
158,1112,13
0,0,0
1154,14738,133
962,15603,113
0,0,0
2766,19200,80
0,0,0
273,2657,11
1440,10737,50
0,0,0
0,0,0
900,9795,40
0,0,0
875,13308,36
292,3124,12
1709,15970,48
0,0,0
5499,40499,318
287,3290,17
1174,5245,45
0,0,0
