retweet_count,favorite_count,reply_count
190,1899,3
194,1966,2
472,4743,35
126,953,14
0,0,0
47,217,2
383,2263,67
5025,30330,310
0,0,0
0,0,0
0,0,0
0,0,0
91,1126,4
94,1035,4
21,204,4
21,185,2
15,116,1
99,1391,16
77,614,16
0,0,0
384,2880,30
0,0,0
0,0,0
1708,14967,789
2569,21219,231
290,2111,16
0,0,0
1372,8136,45
292,1753,25
272,2860,291
175,1484,90
0,0,0
0,0,0
650,7921,248
1134,10112,114
246,2749,121
0,0,0
157,1392,11
381,3208,46
206,1043,14
236,1228,10
125,807,13
777,7250,44
832,9237,48
398,4289,44
0,0,0
762,9177,63
0,0,0
628,4967,79
60,556,17
362,2114,47
0,0,0
3561,18416,132
141,707,14
4354,27436,205
0,0,0
1666,19519,71
0,0,0
966,8885,39
12704,59309,233
0,0,0
1945,22238,63
1963,13986,68
2054,18067,97
5108,38599,130
0,0,0
0,0,0
6441,54995,175
178,2381,22
0,0,0
933,4479,41
0,0,0
0,0,0
0,0,0
798,4585,23
5860,32618,172
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4682,27601,193
4608,23184,161
0,0,0
0,0,0
0,0,0
24472,70981,973
0,0,0
9576,37541,408
39218,137051,792
5003,31503,162
273,1793,15
825,4126,50
502,3238,28
250,1664,12
791,4522,35
493,4120,123
547,3363,73
537,3161,41
248,1552,4
5350,36268,190
1170,7474,40
1158,10632,75
2827,15534,159
53,651,0
56,710,6
705,5179,25
3044,34821,110
284,2220,13
589,5462,32
1507,11651,72
298,2584,28
0,0,0
2977,22113,203
0,0,0
0,0,0
0,0,0
0,0,0
466,3159,37
0,0,0
1104,5421,44
0,0,0
1243,6457,73
0,0,0
5338,42555,301
15383,50843,630
1964,10646,80
0,0,0
1,1,0
219,1300,15
576,4163,44
1259,7420,130
4678,33041,87
595,3988,78
691,3960,31
3628,19051,121
591,4572,72
466,2971,19
0,0,0
755,3211,28
7115,46179,255
1380,5932,50
188,1111,19
1032,8846,49
435,2738,92
146,814,13
1115,11922,60
246,3564,22
780,10260,73
151,1418,8
362,3467,20
413,3308,34
1503,8023,90
376,2095,52
40,399,6
3089,20146,158
342,1967,23
291,3779,37
0,0,0
3604,24335,185
460,7890,29
1353,11685,59
0,0,0
2617,18834,110
0,0,0
496,2919,30
795,4328,66
0,0,0
992,5010,57
0,0,0
1362,11076,59
0,0,0
3904,14836,158
6871,28113,304
11130,64776,474
1012,6751,63
731,4362,60
0,1,0
954,4722,47
0,0,0
0,0,0
1405,6971,52
950,6644,128
0,0,0
1556,8878,74
0,0,0
496,3420,37
0,0,0
421,4460,44
515,3204,24
0,0,0
166,858,13
1191,8266,35
401,2122,54
162,820,24
1136,15420,68
544,6516,75
195,2218,23
526,5445,49
928,8308,74
